datetime,precipitation,rain_mm,visibility_m,cloudcover_pct,windspeed_kmh,temperature_c,weather_risk_score
2026-04-08 14:00:00+05:30,0.7,0.7,9900.0,29.0,2.7,32.4,0.021
2026-04-08 15:00:00+05:30,0.24,0.24,9815.0,29.0,7.0,30.9,0.0072
2026-04-08 16:00:00+05:30,1.07,1.07,9332.0,50.0,3.3,31.1,0.0321
2026-04-08 17:00:00+05:30,1.11,1.11,10000.0,55.0,12.1,31.6,0.0333
2026-04-08 18:00:00+05:30,0.87,0.87,10000.0,60.0,11.4,32.7,0.0261
2026-04-08 19:00:00+05:30,0.06,0.06,10000.0,31.0,9.7,31.6,0.0018
2026-04-08 20:00:00+05:30,0.91,0.91,9403.0,29.0,22.1,30.5,0.0273
2026-04-08 21:00:00+05:30,1.08,1.08,10000.0,64.0,14.7,32.2,0.0324
2026-04-08 22:00:00+05:30,0.9,0.9,10000.0,31.0,15.6,31.3,0.027
2026-04-08 23:00:00+05:30,0.22,0.22,10000.0,29.0,7.3,33.7,0.0066
2026-04-09 00:00:00+05:30,0.26,0.26,10000.0,33.0,7.0,31.8,0.0078
2026-04-09 01:00:00+05:30,0.13,0.13,10000.0,42.0,12.2,29.6,0.0039
2026-04-09 02:00:00+05:30,0.28,0.28,10000.0,57.0,12.9,32.2,0.0084
2026-04-09 03:00:00+05:30,0.02,0.02,10000.0,51.0,2.7,33.8,0.0006
2026-04-09 04:00:00+05:30,0.13,0.13,10000.0,49.0,11.1,33.5,0.0039
2026-04-09 05:00:00+05:30,1.05,1.05,8950.0,32.0,12.1,33.8,0.0315
2026-04-09 06:00:00+05:30,3.2,3.2,9562.0,50.0,10.9,30.9,0.096
2026-04-09 07:00:00+05:30,0.45,0.45,9654.0,41.0,7.9,32.9,0.0135
2026-04-09 08:00:00+05:30,0.23,0.23,9326.0,27.0,9.3,31.3,0.0069
2026-04-09 09:00:00+05:30,0.32,0.32,10000.0,33.0,11.1,32.2,0.0096
2026-04-09 10:00:00+05:30,0.29,0.29,10000.0,34.0,12.5,30.7,0.0087
2026-04-09 11:00:00+05:30,0.1,0.1,10000.0,26.0,15.0,31.4,0.003
2026-04-09 12:00:00+05:30,0.87,0.87,9998.0,46.0,17.4,31.3,0.0261
2026-04-09 13:00:00+05:30,1.1,1.1,10000.0,54.0,10.5,32.9,0.033
2026-04-09 14:00:00+05:30,1.21,1.21,9825.0,29.0,9.7,32.8,0.0363
2026-04-09 15:00:00+05:30,4.25,4.25,9464.0,60.0,14.2,32.3,0.1275
2026-04-09 16:00:00+05:30,1.69,1.69,9200.0,60.0,15.1,30.6,0.0507
2026-04-09 17:00:00+05:30,1.32,1.32,10000.0,56.0,9.8,31.7,0.0396
2026-04-09 18:00:00+05:30,0.83,0.83,9905.0,57.0,16.0,31.2,0.0249
2026-04-09 19:00:00+05:30,0.47,0.47,9278.0,40.0,16.9,32.8,0.0141
2026-04-09 20:00:00+05:30,0.04,0.04,9969.0,53.0,18.5,33.1,0.0012
2026-04-09 21:00:00+05:30,0.77,0.77,9845.0,33.0,20.9,32.9,0.0231
2026-04-09 22:00:00+05:30,0.5,0.5,10000.0,37.0,7.7,31.1,0.015
2026-04-09 23:00:00+05:30,1.21,1.21,10000.0,33.0,12.1,29.1,0.0363
2026-04-10 00:00:00+05:30,1.62,1.62,9762.0,47.0,12.1,30.0,0.0486
2026-04-10 01:00:00+05:30,0.27,0.27,10000.0,37.0,11.5,33.2,0.0081
2026-04-10 02:00:00+05:30,0.04,0.04,10000.0,30.0,8.8,31.3,0.0012
2026-04-10 03:00:00+05:30,0.74,0.74,9788.0,54.0,4.6,30.9,0.0222
2026-04-10 04:00:00+05:30,2.04,2.04,9152.0,43.0,12.5,33.3,0.0612
2026-04-10 05:00:00+05:30,0.66,0.66,9826.0,34.0,8.2,32.9,0.0198
2026-04-10 06:00:00+05:30,1.7,1.7,9371.0,34.0,12.4,31.6,0.051
2026-04-10 07:00:00+05:30,0.6,0.6,9284.0,41.0,8.0,31.2,0.018
2026-04-10 08:00:00+05:30,1.05,1.05,10000.0,37.0,6.5,31.3,0.0315
2026-04-10 09:00:00+05:30,0.23,0.23,10000.0,36.0,13.2,31.6,0.0069
2026-04-10 10:00:00+05:30,0.11,0.11,9091.0,30.0,12.8,32.9,0.0033
2026-04-10 11:00:00+05:30,0.11,0.11,9922.0,51.0,14.9,31.7,0.0033
2026-04-10 12:00:00+05:30,0.09,0.09,10000.0,58.0,22.9,32.0,0.0027
2026-04-10 13:00:00+05:30,0.04,0.04,10000.0,40.0,13.4,32.3,0.0012
2026-04-10 14:00:00+05:30,1.37,1.37,10000.0,53.0,14.4,29.9,0.0411
2026-04-10 15:00:00+05:30,0.36,0.36,9966.0,56.0,6.6,31.8,0.0108
2026-04-10 16:00:00+05:30,0.31,0.31,9531.0,61.0,5.6,30.7,0.0093
2026-04-10 17:00:00+05:30,0.75,0.75,9346.0,48.0,19.9,28.4,0.0225
2026-04-10 18:00:00+05:30,0.15,0.15,10000.0,56.0,7.4,28.7,0.0045
2026-04-10 19:00:00+05:30,1.53,1.53,9959.0,64.0,6.8,29.7,0.0459
2026-04-10 20:00:00+05:30,1.03,1.03,10000.0,57.0,11.8,31.2,0.0309
2026-04-10 21:00:00+05:30,0.26,0.26,10000.0,40.0,11.5,30.7,0.0078
2026-04-10 22:00:00+05:30,0.16,0.16,9910.0,24.0,7.5,30.7,0.0048
2026-04-10 23:00:00+05:30,0.42,0.42,9314.0,23.0,10.5,32.4,0.0126
2026-04-11 00:00:00+05:30,0.24,0.24,9804.0,40.0,18.1,29.1,0.0072
2026-04-11 01:00:00+05:30,0.06,0.06,10000.0,40.0,8.0,30.2,0.0018
2026-04-11 02:00:00+05:30,0.4,0.4,9839.0,38.0,5.0,30.5,0.012
2026-04-11 03:00:00+05:30,1.8,1.8,9441.0,52.0,16.7,29.3,0.054
2026-04-11 04:00:00+05:30,0.81,0.81,10000.0,46.0,14.5,30.0,0.0243
2026-04-11 05:00:00+05:30,2.47,2.47,9378.0,66.0,8.9,28.3,0.0741
2026-04-11 06:00:00+05:30,1.64,1.64,9440.0,33.0,4.1,31.2,0.0492
2026-04-11 07:00:00+05:30,0.89,0.89,10000.0,33.0,8.3,29.0,0.0267
2026-04-11 08:00:00+05:30,1.48,1.48,9577.0,59.0,11.7,31.6,0.0444
2026-04-11 09:00:00+05:30,0.58,0.58,10000.0,57.0,17.8,29.5,0.0174
2026-04-11 10:00:00+05:30,0.85,0.85,10000.0,64.0,6.8,30.4,0.0255
2026-04-11 11:00:00+05:30,0.3,0.3,9385.0,56.0,11.6,29.3,0.009
2026-04-11 12:00:00+05:30,0.18,0.18,9733.0,56.0,15.4,29.2,0.0054
2026-04-11 13:00:00+05:30,1.72,1.72,10000.0,41.0,0.1,28.5,0.0516
2026-04-11 14:00:00+05:30,0.11,0.11,9402.0,37.0,17.2,29.1,0.0033
2026-04-11 15:00:00+05:30,0.15,0.15,8919.0,31.0,6.1,29.2,0.0045
2026-04-11 16:00:00+05:30,0.25,0.25,9032.0,45.0,13.7,28.0,0.0075
2026-04-11 17:00:00+05:30,0.77,0.77,9898.0,61.0,13.2,28.6,0.0231
2026-04-11 18:00:00+05:30,0.33,0.33,9966.0,35.0,17.4,28.0,0.0099
2026-04-11 19:00:00+05:30,0.55,0.55,9859.0,45.0,14.8,30.8,0.0165
2026-04-11 20:00:00+05:30,1.73,1.73,10000.0,40.0,0.1,28.3,0.0519
2026-04-11 21:00:00+05:30,1.23,1.23,8479.0,33.0,8.1,29.8,0.0369
2026-04-11 22:00:00+05:30,0.94,0.94,10000.0,32.0,12.7,28.0,0.0282
2026-04-11 23:00:00+05:30,0.14,0.14,10000.0,23.0,11.0,28.3,0.0042
2026-04-12 00:00:00+05:30,0.95,0.95,9293.0,63.0,14.4,26.7,0.0285
2026-04-12 01:00:00+05:30,0.36,0.36,9756.0,38.0,15.9,27.4,0.0108
2026-04-12 02:00:00+05:30,0.1,0.1,9609.0,54.0,15.0,28.0,0.003
2026-04-12 03:00:00+05:30,0.32,0.32,9505.0,49.0,10.9,29.3,0.0096
2026-04-12 04:00:00+05:30,0.06,0.06,9828.0,28.0,2.8,27.8,0.0018
2026-04-12 05:00:00+05:30,0.73,0.73,10000.0,31.0,9.7,28.8,0.0219
2026-04-12 06:00:00+05:30,0.78,0.78,10000.0,56.0,14.1,28.0,0.0234
2026-04-12 07:00:00+05:30,0.24,0.24,9797.0,32.0,6.5,28.9,0.0072
2026-04-12 08:00:00+05:30,0.04,0.04,10000.0,57.0,15.2,27.1,0.0012
2026-04-12 09:00:00+05:30,2.18,2.18,9690.0,37.0,16.5,29.4,0.0654
2026-04-12 10:00:00+05:30,0.65,0.65,10000.0,50.0,12.6,26.5,0.0195
2026-04-12 11:00:00+05:30,1.19,1.19,9775.0,59.0,0.0,26.1,0.0357
2026-04-12 12:00:00+05:30,0.28,0.28,10000.0,31.0,5.6,25.5,0.0084
2026-04-12 13:00:00+05:30,1.34,1.34,9982.0,38.0,21.4,29.0,0.0402
2026-04-12 14:00:00+05:30,1.31,1.31,10000.0,65.0,9.3,27.4,0.0393
2026-04-12 15:00:00+05:30,0.07,0.07,10000.0,31.0,2.1,26.1,0.0021
2026-04-12 16:00:00+05:30,4.35,4.35,8995.0,59.0,18.2,27.6,0.1305
2026-04-12 17:00:00+05:30,0.54,0.54,10000.0,40.0,12.1,26.9,0.0162
2026-04-12 18:00:00+05:30,1.12,1.12,9651.0,36.0,17.5,28.1,0.0336
2026-04-12 19:00:00+05:30,0.19,0.19,9726.0,52.0,13.4,24.5,0.0057
2026-04-12 20:00:00+05:30,0.79,0.79,10000.0,55.0,14.3,25.7,0.0237
2026-04-12 21:00:00+05:30,0.23,0.23,9981.0,36.0,13.8,25.4,0.0069
2026-04-12 22:00:00+05:30,1.29,1.29,9946.0,60.0,15.5,23.8,0.0387
2026-04-12 23:00:00+05:30,0.37,0.37,9951.0,30.0,23.4,26.8,0.0111
2026-04-13 00:00:00+05:30,0.62,0.62,10000.0,23.0,16.9,25.4,0.0186
2026-04-13 01:00:00+05:30,0.42,0.42,10000.0,45.0,4.1,26.3,0.0126
2026-04-13 02:00:00+05:30,0.6,0.6,8941.0,63.0,14.2,27.8,0.018
2026-04-13 03:00:00+05:30,0.38,0.38,10000.0,23.0,17.7,25.0,0.0114
2026-04-13 04:00:00+05:30,0.49,0.49,9435.0,31.0,18.0,24.9,0.0147
2026-04-13 05:00:00+05:30,0.02,0.02,9275.0,41.0,9.9,25.3,0.0006
2026-04-13 06:00:00+05:30,1.27,1.27,9780.0,59.0,17.8,26.1,0.0381
2026-04-13 07:00:00+05:30,2.01,2.01,9741.0,34.0,16.6,24.5,0.0603
2026-04-13 08:00:00+05:30,0.46,0.46,9584.0,38.0,24.9,24.4,0.0138
2026-04-13 09:00:00+05:30,2.72,2.72,10000.0,63.0,8.2,26.0,0.0816
2026-04-13 10:00:00+05:30,0.13,0.13,9309.0,36.0,9.5,25.3,0.0039
2026-04-13 11:00:00+05:30,2.23,2.23,9462.0,39.0,10.5,22.8,0.0669
2026-04-13 12:00:00+05:30,0.29,0.29,9664.0,29.0,9.5,23.5,0.0087
2026-04-13 13:00:00+05:30,0.53,0.53,9896.0,39.0,7.5,26.2,0.0159
2026-04-13 14:00:00+05:30,1.95,1.95,9847.0,49.0,0.0,25.0,0.0585
2026-04-13 15:00:00+05:30,0.1,0.1,9481.0,55.0,9.8,23.8,0.003
2026-04-13 16:00:00+05:30,0.15,0.15,10000.0,46.0,13.8,24.4,0.0045
2026-04-13 17:00:00+05:30,1.07,1.07,9870.0,53.0,9.5,24.5,0.0321
2026-04-13 18:00:00+05:30,0.79,0.79,8936.0,63.0,21.7,25.2,0.0237
2026-04-13 19:00:00+05:30,0.23,0.23,8986.0,38.0,12.1,23.0,0.0069
2026-04-13 20:00:00+05:30,0.35,0.35,9941.0,38.0,18.5,23.5,0.0105
2026-04-13 21:00:00+05:30,0.6,0.6,9800.0,60.0,13.3,24.6,0.018
2026-04-13 22:00:00+05:30,1.52,1.52,9720.0,37.0,16.1,24.2,0.0456
2026-04-13 23:00:00+05:30,0.29,0.29,9943.0,51.0,13.4,24.8,0.0087
2026-04-14 00:00:00+05:30,0.61,0.61,10000.0,53.0,18.8,23.0,0.0183
2026-04-14 01:00:00+05:30,0.28,0.28,10000.0,25.0,12.3,24.5,0.0084
2026-04-14 02:00:00+05:30,0.24,0.24,9408.0,40.0,14.5,25.2,0.0072
2026-04-14 03:00:00+05:30,1.71,1.71,9158.0,37.0,13.8,24.6,0.0513
2026-04-14 04:00:00+05:30,0.45,0.45,9387.0,30.0,10.6,24.2,0.0135
2026-04-14 05:00:00+05:30,1.07,1.07,9984.0,44.0,14.0,24.0,0.0321
2026-04-14 06:00:00+05:30,0.24,0.24,10000.0,33.0,23.2,23.2,0.0072
2026-04-14 07:00:00+05:30,0.15,0.15,9762.0,53.0,10.6,24.0,0.0045
2026-04-14 08:00:00+05:30,0.91,0.91,8612.0,61.0,14.1,25.3,0.0273
2026-04-14 09:00:00+05:30,1.13,1.13,8978.0,58.0,18.3,23.9,0.0339
2026-04-14 10:00:00+05:30,0.76,0.76,9469.0,34.0,17.7,23.1,0.0228
2026-04-14 11:00:00+05:30,0.95,0.95,9579.0,36.0,12.1,23.5,0.0285
2026-04-14 12:00:00+05:30,0.82,0.82,9674.0,34.0,0.1,24.2,0.0246
2026-04-14 13:00:00+05:30,0.87,0.87,9888.0,30.0,14.6,23.6,0.0261
2026-04-14 14:00:00+05:30,1.8,1.8,9574.0,67.0,0.9,24.5,0.054
2026-04-14 15:00:00+05:30,2.26,2.26,10000.0,47.0,19.3,24.5,0.0678
2026-04-14 16:00:00+05:30,0.53,0.53,9583.0,32.0,12.8,24.9,0.0159
2026-04-14 17:00:00+05:30,0.07,0.07,9558.0,54.0,17.0,25.5,0.0021
2026-04-14 18:00:00+05:30,1.12,1.12,10000.0,42.0,7.5,25.0,0.0336
2026-04-14 19:00:00+05:30,0.68,0.68,9131.0,25.0,4.2,23.1,0.0204
2026-04-14 20:00:00+05:30,1.95,1.95,9902.0,36.0,13.3,23.2,0.0585
2026-04-14 21:00:00+05:30,0.84,0.84,9926.0,50.0,11.8,24.0,0.0252
2026-04-14 22:00:00+05:30,0.11,0.11,9909.0,52.0,9.5,23.7,0.0033
2026-04-14 23:00:00+05:30,0.84,0.84,10000.0,33.0,12.4,23.0,0.0252
2026-04-15 00:00:00+05:30,0.46,0.46,9620.0,59.0,25.8,23.8,0.0138
2026-04-15 01:00:00+05:30,0.09,0.09,10000.0,55.0,16.2,23.8,0.0027
2026-04-15 02:00:00+05:30,0.22,0.22,9854.0,55.0,17.2,23.6,0.0066
2026-04-15 03:00:00+05:30,2.78,2.78,8944.0,43.0,16.2,24.0,0.0834
2026-04-15 04:00:00+05:30,0.32,0.32,9987.0,24.0,19.4,25.5,0.0096
2026-04-15 05:00:00+05:30,0.21,0.21,9431.0,56.0,11.0,24.6,0.0063
2026-04-15 06:00:00+05:30,0.36,0.36,9571.0,34.0,1.7,26.9,0.0108
2026-04-15 07:00:00+05:30,1.65,1.65,9950.0,53.0,11.1,24.7,0.0495
2026-04-15 08:00:00+05:30,0.87,0.87,10000.0,55.0,16.1,24.3,0.0261
2026-04-15 09:00:00+05:30,0.16,0.16,9665.0,26.0,7.2,24.6,0.0048
2026-04-15 10:00:00+05:30,0.01,0.01,10000.0,51.0,11.1,24.9,0.0003
2026-04-15 11:00:00+05:30,0.35,0.35,10000.0,59.0,8.5,25.2,0.0105
2026-04-15 12:00:00+05:30,0.12,0.12,10000.0,50.0,19.5,26.9,0.0036
2026-04-15 13:00:00+05:30,1.65,1.65,10000.0,46.0,15.7,24.0,0.0495
2026-04-15 14:00:00+05:30,0.09,0.09,10000.0,55.0,15.3,25.8,0.0027
2026-04-15 15:00:00+05:30,0.55,0.55,8977.0,44.0,15.1,25.2,0.0165
2026-04-15 16:00:00+05:30,0.81,0.81,9719.0,54.0,11.8,23.5,0.0243
2026-04-15 17:00:00+05:30,2.3,2.3,9222.0,64.0,13.0,25.9,0.069
2026-04-15 18:00:00+05:30,0.23,0.23,10000.0,51.0,6.1,26.5,0.0069
2026-04-15 19:00:00+05:30,1.39,1.39,9506.0,38.0,1.1,24.4,0.0417
2026-04-15 20:00:00+05:30,0.61,0.61,9825.0,28.0,12.8,25.3,0.0183
2026-04-15 21:00:00+05:30,1.38,1.38,10000.0,36.0,13.6,23.7,0.0414
2026-04-15 22:00:00+05:30,0.29,0.29,9872.0,42.0,18.0,24.2,0.0087
2026-04-15 23:00:00+05:30,0.27,0.27,10000.0,42.0,19.9,26.6,0.0081
2026-04-16 00:00:00+05:30,0.2,0.2,9854.0,44.0,19.8,25.2,0.006
2026-04-16 01:00:00+05:30,0.84,0.84,9913.0,40.0,7.0,24.7,0.0252
2026-04-16 02:00:00+05:30,0.52,0.52,9925.0,54.0,10.2,26.1,0.0156
2026-04-16 03:00:00+05:30,0.69,0.69,10000.0,60.0,14.4,25.4,0.0207
2026-04-16 04:00:00+05:30,1.03,1.03,10000.0,35.0,24.7,25.6,0.0309
2026-04-16 05:00:00+05:30,0.92,0.92,10000.0,54.0,19.4,26.9,0.0276
2026-04-16 06:00:00+05:30,0.84,0.84,10000.0,51.0,17.6,25.1,0.0252
2026-04-16 07:00:00+05:30,1.12,1.12,10000.0,47.0,10.1,25.4,0.0336
2026-04-16 08:00:00+05:30,0.03,0.03,9420.0,28.0,7.6,26.6,0.0009
2026-04-16 09:00:00+05:30,1.2,1.2,9775.0,58.0,15.9,27.5,0.036
2026-04-16 10:00:00+05:30,1.04,1.04,10000.0,64.0,6.5,27.8,0.0312
2026-04-16 11:00:00+05:30,0.35,0.35,10000.0,51.0,10.8,26.0,0.0105
2026-04-16 12:00:00+05:30,0.19,0.19,10000.0,58.0,11.4,27.7,0.0057
2026-04-16 13:00:00+05:30,0.57,0.57,10000.0,62.0,20.0,26.1,0.0171
2026-04-16 14:00:00+05:30,1.62,1.62,10000.0,42.0,10.2,28.8,0.0486
2026-04-16 15:00:00+05:30,0.26,0.26,10000.0,47.0,0.0,26.0,0.0078
2026-04-16 16:00:00+05:30,1.15,1.15,9973.0,45.0,14.5,28.5,0.0345
2026-04-16 17:00:00+05:30,2.38,2.38,9466.0,71.0,8.5,26.6,0.0714
2026-04-16 18:00:00+05:30,0.32,0.32,10000.0,25.0,12.2,29.4,0.0096
2026-04-16 19:00:00+05:30,3.44,3.44,8018.0,54.0,11.6,28.1,0.1032
2026-04-16 20:00:00+05:30,0.05,0.05,10000.0,55.0,10.6,26.6,0.0015
2026-04-16 21:00:00+05:30,0.03,0.03,8171.0,32.0,16.0,27.2,0.0009
2026-04-16 22:00:00+05:30,1.49,1.49,8915.0,59.0,4.3,28.6,0.0447
2026-04-16 23:00:00+05:30,0.52,0.52,10000.0,38.0,9.4,29.0,0.0156
2026-04-17 00:00:00+05:30,0.48,0.48,10000.0,62.0,15.4,28.0,0.0144
2026-04-17 01:00:00+05:30,1.57,1.57,9184.0,63.0,8.9,28.2,0.0471
2026-04-17 02:00:00+05:30,1.98,1.98,9347.0,42.0,4.0,29.0,0.0594
2026-04-17 03:00:00+05:30,0.66,0.66,10000.0,54.0,15.3,28.5,0.0198
2026-04-17 04:00:00+05:30,1.69,1.69,9505.0,42.0,17.6,27.2,0.0507
2026-04-17 05:00:00+05:30,0.81,0.81,10000.0,48.0,11.8,27.7,0.0243
2026-04-17 06:00:00+05:30,0.4,0.4,9939.0,48.0,2.2,28.9,0.012
2026-04-17 07:00:00+05:30,0.19,0.19,10000.0,54.0,15.5,30.0,0.0057
2026-04-17 08:00:00+05:30,1.1,1.1,10000.0,26.0,3.7,30.5,0.033
2026-04-17 09:00:00+05:30,1.71,1.71,9809.0,37.0,13.5,29.7,0.0513
2026-04-17 10:00:00+05:30,2.14,2.14,9178.0,59.0,7.6,29.4,0.0642
2026-04-17 11:00:00+05:30,0.24,0.24,9909.0,44.0,6.2,29.9,0.0072
2026-04-17 12:00:00+05:30,0.82,0.82,9859.0,44.0,9.8,28.6,0.0246
2026-04-17 13:00:00+05:30,0.41,0.41,9256.0,24.0,11.1,29.2,0.0123
2026-04-17 14:00:00+05:30,1.37,1.37,9667.0,41.0,8.8,28.6,0.0411
2026-04-17 15:00:00+05:30,0.18,0.18,9602.0,55.0,14.9,28.3,0.0054
2026-04-17 16:00:00+05:30,0.05,0.05,10000.0,21.0,9.8,30.0,0.0015
2026-04-17 17:00:00+05:30,0.29,0.29,9974.0,37.0,16.9,29.9,0.0087
2026-04-17 18:00:00+05:30,0.06,0.06,9850.0,58.0,13.4,30.5,0.0018
2026-04-17 19:00:00+05:30,0.38,0.38,9890.0,24.0,8.5,30.5,0.0114
2026-04-17 20:00:00+05:30,0.39,0.39,10000.0,52.0,7.7,30.3,0.0117
2026-04-17 21:00:00+05:30,0.09,0.09,10000.0,31.0,3.8,30.7,0.0027
2026-04-17 22:00:00+05:30,2.47,2.47,9130.0,67.0,13.5,30.2,0.0741
2026-04-17 23:00:00+05:30,0.24,0.24,9443.0,51.0,10.2,30.7,0.0072
2026-04-18 00:00:00+05:30,0.96,0.96,10000.0,60.0,0.1,29.7,0.0288
2026-04-18 01:00:00+05:30,0.16,0.16,9770.0,29.0,9.3,30.8,0.0048
2026-04-18 02:00:00+05:30,0.41,0.41,9231.0,43.0,7.5,31.2,0.0123
2026-04-18 03:00:00+05:30,0.07,0.07,10000.0,52.0,19.9,30.0,0.0021
2026-04-18 04:00:00+05:30,0.09,0.09,10000.0,30.0,3.5,30.8,0.0027
2026-04-18 05:00:00+05:30,0.01,0.01,9233.0,29.0,4.8,30.2,0.0003
2026-04-18 06:00:00+05:30,1.29,1.29,9921.0,28.0,17.5,30.3,0.0387
2026-04-18 07:00:00+05:30,0.28,0.28,10000.0,60.0,18.8,29.8,0.0084
2026-04-18 08:00:00+05:30,0.55,0.55,10000.0,51.0,8.3,32.3,0.0165
2026-04-18 09:00:00+05:30,0.7,0.7,10000.0,49.0,8.8,32.1,0.021
2026-04-18 10:00:00+05:30,0.14,0.14,9276.0,50.0,15.1,31.7,0.0042
2026-04-18 11:00:00+05:30,2.35,2.35,9814.0,53.0,0.4,33.2,0.0705
2026-04-18 12:00:00+05:30,0.44,0.44,9783.0,41.0,2.7,31.1,0.0132
2026-04-18 13:00:00+05:30,0.06,0.06,9750.0,38.0,10.6,34.4,0.0018
2026-04-18 14:00:00+05:30,0.09,0.09,10000.0,46.0,19.7,31.1,0.0027
2026-04-18 15:00:00+05:30,0.4,0.4,10000.0,30.0,9.8,31.7,0.012
2026-04-18 16:00:00+05:30,0.1,0.1,10000.0,56.0,12.5,31.1,0.003
2026-04-18 17:00:00+05:30,0.26,0.26,10000.0,54.0,17.7,31.9,0.0078
2026-04-18 18:00:00+05:30,0.59,0.59,9856.0,37.0,22.5,32.4,0.0177
2026-04-18 19:00:00+05:30,0.03,0.03,10000.0,43.0,9.1,31.5,0.0009
2026-04-18 20:00:00+05:30,0.29,0.29,10000.0,27.0,11.9,33.4,0.0087
2026-04-18 21:00:00+05:30,1.26,1.26,9872.0,65.0,21.1,32.0,0.0378
2026-04-18 22:00:00+05:30,0.06,0.06,10000.0,56.0,4.4,32.0,0.0018
2026-04-18 23:00:00+05:30,0.78,0.78,10000.0,61.0,17.1,30.9,0.0234
2026-04-19 00:00:00+05:30,0.04,0.04,9964.0,33.0,6.9,32.2,0.0012
2026-04-19 01:00:00+05:30,2.14,2.14,9314.0,37.0,12.5,31.7,0.0642
2026-04-19 02:00:00+05:30,0.2,0.2,9762.0,29.0,10.8,31.3,0.006
2026-04-19 03:00:00+05:30,0.2,0.2,10000.0,25.0,7.2,31.1,0.006
2026-04-19 04:00:00+05:30,0.87,0.87,9871.0,29.0,7.1,34.6,0.0261
2026-04-19 05:00:00+05:30,1.81,1.81,9899.0,32.0,13.4,31.7,0.0543
2026-04-19 06:00:00+05:30,2.55,2.55,9953.0,72.0,17.0,30.5,0.0765
2026-04-19 07:00:00+05:30,1.11,1.11,9647.0,28.0,11.4,31.3,0.0333
